2011-01-21 18:32:11 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/home/bakishin/work/testcakephp/01.program/cake/libs/debugger.php, line 684]
2011-01-21 18:32:11 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/home/bakishin/work/testcakephp/01.program/cake/libs/debugger.php, line 688]
2011-01-21 18:32:25 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/home/bakishin/work/testcakephp/01.program/cake/libs/debugger.php, line 688]
2011-02-04 15:55:21 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 15:56:18 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:01:22 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:15:48 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:15:48 Notice: Notice (8): Undefined property: View::$Group in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 12]
2011-02-04 16:16:14 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:16:14 Notice: Notice (8): Undefined property: View::$Group in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 12]
2011-02-04 16:16:52 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:18:34 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:18:34 Notice: Notice (8): Undefined index: name in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 15]
2011-02-04 16:19:24 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:19:24 Notice: Notice (8): Undefined index: name in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 16]
2011-02-04 16:20:20 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:22:14 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
